difference triples
(58, 45, 103)
(61, 21, 82)
(25, 93, 118)
(69, 51, 120)
(52, 47, 99)
(62, 18, 80)
(46, 43, 89)
(34, 40, 74)
(19, 90, 109)
(22, 88, 110)
(68, 53, 121)
(65, 54, 119)
(49, 35, 84)
(66, 38, 104)
(42, 73, 115)
(86, 31, 117)
(39, 59, 98)
(9, 63, 72)
(67, 33, 100)
(28, 94, 122)
(76, 7, 83)
(75, 48, 123)
(12, 8, 20)
(41, 70, 111)
(71, 24, 95)
(97, 15, 112)
(60, 36, 96)
(56, 50, 106)
(27, 81, 108)
(23, 32, 55)
(79, 37, 116)
(29, 85, 114)
(57, 44, 101)
(10, 92, 102)
(26, 87, 113)
(77, 30, 107)
