difference triples
(92, 38, 130)
(81, 40, 121)
(34, 28, 62)
(95, 32, 127)
(101, 1, 102)
(117, 9, 126)
(4, 84, 88)
(60, 23, 83)
(51, 52, 103)
(61, 53, 114)
(29, 77, 106)
(47, 82, 129)
(76, 14, 90)
(16, 100, 116)
(55, 57, 112)
(3, 119, 122)
(63, 26, 89)
(18, 93, 111)
(71, 25, 96)
(35, 80, 115)
(11, 30, 41)
(46, 64, 110)
(43, 44, 87)
(6, 85, 91)
(65, 2, 67)
(75, 33, 108)
(15, 7, 22)
(42, 56, 98)
(21, 97, 118)
(13, 36, 49)
(31, 94, 125)
(24, 99, 123)
(107, 17, 124)
(54, 19, 73)
(37, 68, 105)
(78, 50, 128)
(48, 72, 120)
(27, 86, 113)
(59, 45, 104)
(70, 39, 109)
