difference triples
(60, 46, 106)
(72, 23, 95)
(45, 74, 119)
(53, 62, 115)
(11, 66, 77)
(38, 35, 73)
(14, 20, 34)
(15, 29, 44)
(93, 10, 103)
(61, 63, 124)
(96, 24, 120)
(58, 26, 84)
(27, 5, 32)
(17, 54, 71)
(108, 1, 109)
(55, 50, 105)
(13, 112, 125)
(47, 52, 99)
(65, 2, 67)
(83, 28, 111)
(49, 68, 117)
(33, 64, 97)
(37, 39, 76)
(43, 80, 123)
(42, 40, 82)
(9, 89, 98)
(90, 36, 126)
(75, 25, 100)
(70, 31, 101)
(114, 4, 118)
(7, 78, 85)
(57, 59, 116)
(56, 48, 104)
(6, 16, 22)
(3, 88, 91)
(21, 86, 107)
