difference triples
(54, 61, 115)
(129, 4, 133)
(32, 82, 114)
(104, 19, 123)
(84, 12, 96)
(11, 83, 94)
(17, 88, 105)
(20, 18, 38)
(103, 22, 125)
(52, 46, 98)
(15, 106, 121)
(33, 69, 102)
(48, 71, 119)
(74, 16, 90)
(117, 14, 131)
(47, 44, 91)
(112, 6, 118)
(5, 95, 100)
(58, 2, 60)
(8, 85, 93)
(43, 36, 79)
(41, 35, 76)
(87, 37, 124)
(30, 81, 111)
(1, 108, 109)
(77, 9, 86)
(25, 40, 65)
(64, 66, 130)
(3, 110, 113)
(51, 21, 72)
(23, 27, 50)
(80, 42, 122)
(67, 68, 135)
(53, 75, 128)
(13, 26, 39)
(55, 34, 89)
(24, 73, 97)
(62, 45, 107)
(56, 78, 134)
(31, 101, 132)
