difference triples
(36, 76, 112)
(45, 84, 129)
(6, 103, 109)
(60, 48, 108)
(12, 93, 105)
(52, 62, 114)
(8, 96, 104)
(47, 66, 113)
(67, 11, 78)
(64, 21, 85)
(57, 54, 111)
(23, 92, 115)
(58, 69, 127)
(7, 3, 10)
(80, 39, 119)
(79, 42, 121)
(46, 61, 107)
(29, 89, 118)
(20, 86, 106)
(82, 17, 99)
(38, 50, 88)
(40, 32, 72)
(59, 35, 94)
(83, 14, 97)
(43, 74, 117)
(110, 15, 125)
(34, 98, 132)
(44, 87, 131)
(19, 22, 41)
(16, 65, 81)
(18, 9, 27)
(4, 126, 130)
(1, 90, 91)
(37, 33, 70)
(25, 31, 56)
(95, 5, 100)
(120, 13, 133)
(102, 26, 128)
(55, 68, 123)
(53, 63, 116)
