difference triples
(16, 32, 48)
(12, 71, 83)
(13, 50, 63)
(86, 8, 94)
(62, 45, 107)
(1, 118, 119)
(17, 2, 19)
(111, 5, 116)
(39, 58, 97)
(10, 64, 74)
(102, 15, 117)
(90, 6, 96)
(37, 35, 72)
(44, 22, 66)
(76, 4, 80)
(29, 77, 106)
(46, 41, 87)
(51, 38, 89)
(52, 36, 88)
(67, 3, 70)
(23, 20, 43)
(60, 24, 84)
(53, 47, 100)
(18, 75, 93)
(25, 95, 120)
(81, 33, 114)
(85, 27, 112)
(49, 55, 104)
(79, 30, 109)
(7, 98, 105)
(21, 78, 99)
(68, 40, 108)
(61, 54, 115)
(11, 31, 42)
(82, 28, 110)
(34, 69, 103)
(9, 92, 101)
(26, 65, 91)
(56, 57, 113)
(14, 59, 73)
