difference triples
(5, 110, 115)
(52, 22, 74)
(66, 31, 97)
(11, 107, 118)
(122, 14, 136)
(91, 18, 109)
(6, 106, 112)
(67, 36, 103)
(65, 24, 89)
(45, 40, 85)
(10, 68, 78)
(59, 79, 138)
(56, 42, 98)
(83, 47, 130)
(25, 102, 127)
(37, 1, 38)
(57, 60, 117)
(41, 34, 75)
(93, 27, 120)
(19, 81, 100)
(33, 28, 61)
(105, 9, 114)
(90, 44, 134)
(43, 88, 131)
(16, 119, 135)
(8, 87, 95)
(3, 96, 99)
(58, 53, 111)
(4, 129, 133)
(77, 51, 128)
(17, 63, 80)
(101, 12, 113)
(64, 73, 137)
(71, 55, 126)
(84, 48, 132)
(15, 35, 50)
(30, 86, 116)
(49, 76, 125)
(70, 54, 124)
(72, 32, 104)
