difference triples
(70, 63, 133)
(19, 68, 87)
(109, 17, 126)
(66, 44, 110)
(54, 25, 79)
(11, 107, 118)
(32, 61, 93)
(65, 58, 123)
(92, 24, 116)
(46, 85, 131)
(53, 49, 102)
(97, 38, 135)
(39, 37, 76)
(43, 48, 91)
(34, 100, 134)
(1, 113, 114)
(98, 29, 127)
(27, 57, 84)
(30, 82, 112)
(101, 35, 136)
(4, 117, 121)
(47, 41, 88)
(21, 111, 132)
(42, 73, 115)
(45, 75, 120)
(12, 94, 106)
(3, 78, 81)
(6, 124, 130)
(60, 59, 119)
(99, 9, 108)
(89, 14, 103)
(33, 36, 69)
(8, 96, 104)
(7, 122, 129)
(56, 72, 128)
(5, 50, 55)
(31, 52, 83)
(77, 18, 95)
(71, 15, 86)
(2, 26, 28)
