difference triples
(25, 81, 106)
(29, 83, 112)
(104, 1, 105)
(49, 82, 131)
(59, 51, 110)
(69, 60, 129)
(107, 8, 115)
(2, 48, 50)
(18, 15, 33)
(73, 27, 100)
(68, 62, 130)
(57, 52, 109)
(43, 56, 99)
(93, 10, 103)
(34, 92, 126)
(45, 80, 125)
(9, 111, 120)
(20, 96, 116)
(89, 13, 102)
(31, 64, 95)
(44, 84, 128)
(28, 63, 91)
(88, 30, 118)
(26, 11, 37)
(55, 39, 94)
(16, 19, 35)
(41, 46, 87)
(54, 32, 86)
(38, 76, 114)
(67, 12, 79)
(23, 47, 70)
(61, 40, 101)
(65, 58, 123)
(42, 36, 78)
(108, 14, 122)
(5, 85, 90)
(66, 6, 72)
(97, 22, 119)
(53, 74, 127)
(7, 17, 24)
(77, 21, 98)
(121, 3, 124)
