difference triples
(72, 7, 79)
(33, 65, 98)
(86, 22, 108)
(5, 115, 120)
(55, 39, 94)
(61, 38, 99)
(2, 27, 29)
(51, 18, 69)
(23, 88, 111)
(77, 44, 121)
(6, 19, 25)
(76, 46, 122)
(53, 37, 90)
(101, 3, 104)
(14, 67, 81)
(64, 49, 113)
(73, 56, 129)
(17, 63, 80)
(119, 8, 127)
(74, 43, 117)
(47, 28, 75)
(97, 26, 123)
(70, 40, 110)
(24, 36, 60)
(16, 89, 105)
(57, 59, 116)
(54, 42, 96)
(48, 78, 126)
(10, 85, 95)
(87, 31, 118)
(58, 13, 71)
(4, 124, 128)
(106, 1, 107)
(34, 68, 102)
(100, 9, 109)
(15, 35, 50)
(20, 92, 112)
(91, 12, 103)
