difference triples
(46, 4, 50)
(30, 60, 90)
(12, 65, 77)
(56, 53, 109)
(59, 39, 98)
(44, 36, 80)
(25, 100, 125)
(92, 32, 124)
(11, 99, 110)
(49, 68, 117)
(96, 24, 120)
(26, 82, 108)
(33, 1, 34)
(5, 66, 71)
(28, 91, 119)
(20, 75, 95)
(79, 27, 106)
(85, 2, 87)
(86, 17, 103)
(62, 54, 116)
(22, 83, 105)
(64, 6, 70)
(8, 10, 18)
(76, 21, 97)
(16, 41, 57)
(3, 55, 58)
(40, 7, 47)
(51, 72, 123)
(102, 19, 121)
(74, 48, 122)
(35, 78, 113)
(45, 67, 112)
(13, 101, 114)
(73, 42, 115)
(38, 69, 107)
(89, 15, 104)
(14, 29, 43)
(23, 88, 111)
(81, 37, 118)
(63, 31, 94)
