difference triples
(91, 20, 111)
(54, 62, 116)
(103, 15, 118)
(44, 69, 113)
(63, 5, 68)
(18, 27, 45)
(26, 13, 39)
(24, 81, 105)
(86, 4, 90)
(36, 46, 82)
(2, 93, 95)
(52, 65, 117)
(23, 55, 78)
(75, 40, 115)
(96, 25, 121)
(84, 28, 112)
(80, 22, 102)
(50, 72, 122)
(7, 85, 92)
(48, 19, 67)
(73, 34, 107)
(94, 14, 108)
(16, 88, 104)
(8, 101, 109)
(30, 57, 87)
(49, 71, 120)
(64, 42, 106)
(58, 12, 70)
(9, 74, 83)
(21, 89, 110)
(10, 1, 11)
(31, 6, 37)
(17, 60, 77)
(43, 76, 119)
(66, 33, 99)
(35, 79, 114)
