difference triples
(66, 34, 100)
(8, 114, 122)
(14, 54, 68)
(97, 18, 115)
(92, 25, 117)
(9, 73, 82)
(33, 38, 71)
(98, 22, 120)
(89, 10, 99)
(55, 53, 108)
(56, 37, 93)
(109, 2, 111)
(58, 45, 103)
(31, 52, 83)
(77, 11, 88)
(4, 72, 76)
(57, 47, 104)
(39, 36, 75)
(19, 86, 105)
(63, 24, 87)
(61, 49, 110)
(7, 60, 67)
(44, 41, 85)
(16, 64, 80)
(70, 46, 116)
(62, 40, 102)
(21, 74, 95)
(5, 118, 123)
(50, 69, 119)
(32, 59, 91)
(35, 13, 48)
(17, 96, 113)
(112, 12, 124)
(81, 20, 101)
(6, 84, 90)
(23, 3, 26)
