difference triples
(15, 18, 33)
(45, 39, 84)
(89, 1, 90)
(119, 2, 121)
(43, 40, 83)
(44, 14, 58)
(47, 65, 112)
(13, 100, 113)
(32, 24, 56)
(50, 77, 127)
(57, 61, 118)
(10, 107, 117)
(87, 5, 92)
(78, 42, 120)
(27, 79, 106)
(53, 51, 104)
(7, 96, 103)
(30, 55, 85)
(41, 81, 122)
(62, 36, 98)
(9, 93, 102)
(76, 21, 97)
(73, 35, 108)
(34, 91, 125)
(17, 8, 25)
(37, 74, 111)
(75, 49, 124)
(110, 6, 116)
(59, 64, 123)
(67, 38, 105)
(22, 48, 70)
(12, 4, 16)
(3, 69, 72)
(66, 29, 95)
(82, 19, 101)
(46, 80, 126)
(23, 86, 109)
(52, 63, 115)
