difference triples
(84, 27, 111)
(52, 56, 108)
(26, 28, 54)
(4, 2, 6)
(46, 48, 94)
(17, 57, 74)
(53, 61, 114)
(76, 33, 109)
(86, 7, 93)
(5, 62, 67)
(3, 78, 81)
(90, 13, 103)
(9, 97, 106)
(30, 80, 110)
(16, 89, 105)
(39, 59, 98)
(49, 50, 99)
(18, 83, 101)
(43, 44, 87)
(19, 23, 42)
(75, 21, 96)
(95, 12, 107)
(35, 36, 71)
(1, 112, 113)
(8, 65, 73)
(79, 40, 119)
(63, 22, 85)
(68, 32, 100)
(45, 72, 117)
(60, 55, 115)
(77, 41, 118)
(64, 38, 102)
(51, 37, 88)
(66, 25, 91)
(47, 69, 116)
(15, 14, 29)
(20, 11, 31)
(10, 82, 92)
