difference triples
(13, 77, 90)
(27, 78, 105)
(52, 69, 121)
(37, 91, 128)
(89, 11, 100)
(51, 45, 96)
(2, 124, 126)
(3, 101, 104)
(26, 87, 113)
(6, 76, 82)
(66, 68, 134)
(23, 30, 53)
(95, 36, 131)
(24, 92, 116)
(56, 29, 85)
(46, 35, 81)
(40, 39, 79)
(19, 67, 86)
(112, 10, 122)
(43, 1, 44)
(60, 28, 88)
(17, 115, 132)
(64, 47, 111)
(8, 98, 106)
(107, 20, 127)
(97, 22, 119)
(70, 48, 118)
(4, 110, 114)
(84, 9, 93)
(55, 65, 120)
(42, 41, 83)
(21, 102, 123)
(94, 5, 99)
(74, 59, 133)
(12, 117, 129)
(71, 38, 109)
(54, 7, 61)
(15, 34, 49)
(62, 63, 125)
(31, 72, 103)
